RecId;EType;Email
1;C;ZachNow@cocopharmaceutical.com
1;S;zach@cocopharmaceutical.com
2;C;SteveStarter@cocopharmaceutical.com
2;S;steve@cocopharmaceutical.com
3;C;TerriDaring@cocopharmaceutical.com
3;S;terri@cocopharmaceutical.com
4;C;tania.tidie@cocopharmaceutical.com
3;S;tania@cocopharmaceutical.com
5;C;polly.tasker@cocopharmaceutical.com
5;S;polly@cocopharmaceutical.com
6;C;tessa.tube@cocopharmaceutical.com
6;S;tessa@cocopharmaceutical.com
7;C;callie.quartile@cocopharmaceutical.com
7;S;callie@cocopharmaceutical.com
8;C;ivor.padlock@cocopharmaceutical.com
8;S;ivor@cocopharmaceutical.com
9;C;robert.nitter@cocopharmaceutical.com
10;C;faith.broker@cocopharmaceutical.com
11;C;sally.counter@cocopharmaceutical.com
12;C;lemmie.stage@cocopharmaceutical.com
13;C;erin.overview@cocopharmaceutical.com
14;C;harry.hopeful@cocopharmaceutical.com
15;C;gary.geeke@cocopharmaceutical.com
16;C;grant.able@hh-care.org
17;C;robert.records@hh-care.org
18;C;reggie.mint@cocopharmaceutical.com
19;C;peter.profile@cocopharmaceutical.com
20;C;nancy.noah@pretend.ibm.com
21;C;SJKSeeker@SecIncConSvcs.gmail
22;C;tom.tally@cocopharmaceutical.com
23;C;julie.stitched@hh-care.org
24;C;des.signa@pretend.ibm.com
25;C;angela.cummings@hh-care.org
26;C;jules.keeper@cocopharmaceutical.com
