RecId;ContactType;FirstName;LastName;Company;JobTitle;WorkLocation
1;E;Zach;Now;Coco Pharmaceuticals;Founder;3
2;E;Steve;Starter;Coco Pharmaceuticals;Founder;1
3;E;Terri;Daring;Coco Pharmaceuticals;Founder;2
4;E;Tanya;Tidy;Coco Pharmaceuticals;Data Steward, Clinical Trials;3
5;E;Polly;Tasker;Coco Pharmaceuticals;IT Project Leader;1
6;E;Tessa;Tube;Coco Pharmaceuticals;Lead Researcher, Clinical Trials;3
7;E;Callie;Quartile;Coco Pharmaceuticals;Data Scientist;3
8;E;Ivor;Padlock;Coco Pharmaceuticals;Chief Security Officer;1
9;E;Bob;Nitter;Coco Pharmaceuticals;Application Developer;1
10;E;Faith;Broker;Coco Pharmaceuticals;Human Resources and Compliance Director;1
11;E;Sally;Counter;Coco Pharmaceuticals;Payment Clerk;2
12;E;Lemmie;Stage;Coco Pharmaceuticals;DataStage Specialist;1
13;E;Erin;Overview;Coco Pharmaceuticals;Information Architect;2
14;E;Harry;Hopeful;Coco Pharmaceuticals;Sales Specialist, New York;3
15;E;Gary;Geeke;Coco Pharmaceuticals;IT Infrastructure Lead;1
16;P;Grant;Able;Hampton Hospital;Consultant;4
17;P;Robbie;Records;Hampton Hospital;Patient Records Manager;4
18;E;Reggie;Mint;Coco Pharmaceuticals;Chief Finance Officer (CFO);2
19;E;Peter;Profile;Coco Pharmaceuticals;Information Analyst;2
20;C;Nancy;Noah;IBM;Cloud Architect;2
21;C;Sidney;Seeker;Sec Inc Consultancy Services;Fraud Investigator;2
22;E;Tom;Tally;Coco Pharmaceuticals;Accounts Manager, Finance HQ;2
23;P;Julie;Stitched;Hampton Hospital;Surgeon;4
24;C;Des;Signa;IBM;Mobile Developer;2
25;P;Angela;Cummings;Hampton Hospital;Nurse (Oncology);4
26;E;Jules;Keeper;Coco Pharmaceuticals;Chief Data Officer (CDO);2
