RecId;ContactType;Number
1;O;1-912-333-4444 (ext 4)
1;M;1-912-380-7277
2;O;31-20-5274986 (ext 2)
3;O;44-20-372-2223 (ext 4)
4;O;1-912-333-4444
5;O;31-20-5274986 (ext 3)
6;O;1-912-333-4444 (ext 5)
7;O;1-912-333-4444 (ext 3)
8;O;31-20-5274986 (ext 4)
9;O;31-20-5274986 (ext 5)
10;O;31-20-5274986 (ext 6)
11;O;44-20-372-2223 (ext 2)
12;O;31-20-5274986 (ext 7)
13;O;44-20-372-2223 (ext 3)
14;O;1-912-333-4444 (ext 6)
14;M;1-912-345-8765
15;M;31-20-5274986 (ext 8)
16;M;1-912-456-6789
17;O;1-912-876-3456
18;O;44-20-372-2223 (ext 5)
19;O;44-20-372-2223 (ext 6)
20;M;44-800-323-4564
21;M;44-877-399-1999
22;O;44-20-372-2223 (ext 7)
23;M;1-912-666-4783
24;M;44-0800-567-1234
25;M;1-912-445-6655
26;O;44-20-372-2223 (ext 8)
